"","Annualized Return","Annualized Std Dev","Annualized Sharpe (Rf=30.48%)","rho1","rho2","rho3","rho4","rho5","rho6","Q(6) p-value","daily  Std Dev","Skewness","Kurtosis","Excess kurtosis","Sample skewness","Sample excess kurtosis","Semi Deviation","Gain Deviation","Loss Deviation","Downside Deviation (MAR=40%)","Downside Deviation (Rf=30.48%)","Downside Deviation (0%)","Maximum Drawdown","Historical VaR (95%)","Historical ES (95%)","Modified VaR (95%)","Modified ES (95%)","daily downside risk","Annualised downside risk","Downside potential","Omega","Sortino ratio","Upside potential","Upside potential ratio","Omega-sharpe ratio","Sterling ratio","Calmar ratio","Burke ratio","Pain index","Ulcer index","Pain ratio","Martin ratio","Minimum","Quartile 1","Median","Arithmetic Mean","Geometric Mean","Quartile 3","Maximum","SE Mean","LCL Mean (0.95)","UCL Mean (0.95)","StdDev Sharpe (Rf=0.1%, p=95%):","VaR Sharpe (Rf=0.1%, p=95%):","ES Sharpe (Rf=0.1%, p=95%):","Alpha","Beta","Beta+","Beta-","R-squared","Annualized Alpha","Correlation","Correlation p-value","Tracking Error","Active Premium","Information Ratio","Treynor Ratio","Beta CoVariance","Beta CoSkewness","Beta CoKurtosis","Specific Risk","Systematic Risk","Total Risk","Up Capture","Down Capture","Up Number","Down Number","Up Percent","Down Percent","Direction"
"2001//1",0.1729,0.6393,-0.2063,0.0151,0.212,-0.0593,0.0193,0.0444,-0.0601,0.7102,0.0403,1.2874,12.628,9.628,1.35,10.5247,0.0263,0.0382,0.0298,0.0267,0.0265,0.026,0.2796,-0.0482,-0.0849,-0.0414,-0.0414,0.0267,0.4235,0.012,0.9251,-0.0338,0.0111,0.7519,-0.0749,-0.0598,-0.0812,-0.0842,0.1874,0.2195,-0.1296,-0.1107,-0.1264,-0.0149,0,7e-04,-1e-04,0.0146,0.2015,0.005,-0.0094,0.0107,-0.0129949202363609,-0.0126388693630082,-0.0126388693630082,0.0073,4.0468,11.4929,2.4824,0.1222,5.2407,0.3495,0.0046,0.6221,0.1449,0.233,-0.0691,4.0468,-14.558,3.8377,0.5943,0.2234,0.6349,6.222,3.2021,0.6538,0.4118,0.6538,0.5882,"Down"
"2001//2",0.0294,0.3288,-0.8376,-0.1044,0.1925,0.0593,-0.1693,-0.0885,-0.0373,0.4331,0.0207,-0.566,4.1334,1.1334,-0.5949,1.3373,0.0153,0.0113,0.0165,0.016,0.0158,0.0153,0.1693,-0.0387,-0.05,-0.0364,-0.0518,0.016,0.2544,0.0081,0.8193,-0.0918,0.0067,0.9228,-0.1807,-0.0889,-0.1414,-0.1617,0.0678,0.089,-0.3764,-0.2868,-0.0632,-0.0109,0,1e-04,-1e-04,0.011,0.0427,0.0027,-0.0052,0.0054,-0.0527611309297271,-0.030035999591221,-0.0211041347558373,0.001,0.7516,-0.1126,1.099,0.0359,0.2966,0.1894,0.1437,0.3235,0.3131,0.9679,-0.3733,0.7516,0.2119,0.1592,0.3202,0.0623,0.3262,1.4295,0.562,0.4167,0.3784,0.4167,0.6216,"Down"
"2001//3",-0.8277,0.2708,-4.1827,0.2343,0.2416,0.0198,0.1158,0.013,-0.0402,0.18,0.0171,0.7488,7.155,4.155,0.7847,4.5916,0.0114,0.0152,0.0106,0.0141,0.0139,0.0132,0.2649,-0.0267,-0.0383,-0.0259,-0.0271,0.0141,0.2246,0.0086,0.4329,-0.3443,0.0037,0.8638,-0.5671,-1.5869,-2.186,-3.217,0.1399,0.1715,-4.1488,-3.3851,-0.0473,-0.0135,0,-0.0033,-0.0034,0.0058,0.0694,0.0021,-0.0075,9e-04,-0.263482606394478,-0.173360961501676,-0.165681235027433,-0.0015,0.7877,-0.1363,0.7412,0.0374,-0.3175,0.1933,0.1229,0.266,-0.1004,-0.3772,-0.8759,0.7877,0.9285,0.6677,0.2636,0.0523,0.2687,0.3968,1.111,0.3571,0.46,0.3571,0.62,"Up"
"2001//4",0.3522,0.3489,0.1358,0.3606,0.3428,0.1563,0.2689,0.0799,0.0389,8e-04,0.022,1.1211,8.5467,5.5467,1.1784,6.1349,0.014,0.0191,0.0126,0.0141,0.0139,0.0133,0.2597,-0.0276,-0.0409,-0.0246,-0.0246,0.0141,0.2243,0.0075,0.9748,-0.0134,0.0073,1.0294,-0.0252,0.947,1.3116,1.5842,0.1472,0.1868,2.3032,1.8147,-0.0577,-0.0074,0,0.0014,0.0012,0.0139,0.1,0.0028,-0.0042,0.007,0.00855694474461051,0.00765897972480539,0.00765897972480539,0.0022,1.1879,1.8746,0.5672,0.1327,0.7599,0.3642,0.0039,0.3255,0.469,1.4406,-0.0097,1.1879,-64.8512,0.8797,0.3222,0.1271,0.3464,1.5435,0.6786,0.4,0.3214,0.4,0.6786,"Down"
"2002//1",-0.2464,0.3799,-1.4508,0.3865,0.2164,0.0453,-0.196,-0.0982,-0.1705,0.0055,0.0239,-0.6074,3.5936,0.5936,-0.6379,0.7478,0.0183,0.0126,0.0187,0.0195,0.0193,0.0187,0.2242,-0.052,-0.0585,-0.0437,-0.058,0.0195,0.3092,0.0097,0.7357,-0.1317,0.0071,0.7413,-0.2643,-0.841,-1.216,-1.0885,0.103,0.1271,-2.6629,-2.158,-0.0657,-0.0117,0,-0.001,-0.0013,0.0125,0.0486,0.003,-0.0071,0.0051,-0.0913930078793369,-0.0500813532707468,-0.0376853779465654,2e-04,0.7043,-5.8261,1.2721,0.031,0.0496,0.176,0.1712,0.375,0.1513,0.4034,-0.659,0.7043,4.979,-0.0586,0.3709,0.0669,0.3769,2.4318,1.1174,0.5652,0.4103,0.5652,0.5897,"Down"
"2002//2",-1.5029,0.3758,-4.8105,0.2632,0.3043,0.1268,-0.0878,-0.1023,-0.1936,0.0146,0.0237,0.2291,8.0672,5.0672,0.2405,5.5952,0.0175,0.0237,0.0198,0.0211,0.0209,0.0203,0.3796,-0.0466,-0.0597,-0.0406,-0.0527,0.0211,0.3342,0.011,0.3143,-0.3587,0.0035,0.7099,-0.6857,-1.6547,-2.0907,-2.5168,0.2177,0.2738,-3.652,-2.9044,-0.0784,-0.0108,0,-0.006,-0.0062,0,0.0941,0.003,-0.0119,0,-0.303031201615223,-0.176525397104421,-0.13615462899898,-0.0022,1.9434,-0.858,2.236,0.1831,-0.4298,0.4278,5e-04,0.3485,-0.5051,-1.4494,-0.4364,1.9434,2.9905,2.6872,0.337,0.1608,0.3733,0.6526,2.8828,0.3043,0.45,0.3043,0.55,"Up"
"2002//3",-0.3319,0.3607,-1.7649,0.1807,0.12,0.2296,-0.002,0.0646,-0.3202,0.0203,0.0227,-1.1086,13.0053,10.0053,-1.1609,10.9036,0.0174,0.0194,0.0261,0.0185,0.0184,0.0179,0.2812,-0.0262,-0.0584,-0.0404,-0.0973,0.0185,0.2938,0.0075,0.6152,-0.1569,0.0046,0.9705,-0.3848,-0.8606,-1.1665,-1.7373,0.07,0.1162,-4.7066,-2.838,-0.1098,-0.008,0,-0.0013,-0.0016,0,0.0857,0.0028,-0.0069,0.0043,-0.111178710573325,-0.0624686866373947,-0.0259644791485123,9e-04,1.8889,0.4535,3.2112,0.1593,0.2538,0.3991,9e-04,0.3376,-0.1845,-0.5465,-0.2673,1.8889,-1.6064,1.2106,0.3282,0.144,0.3584,1.6791,1.8204,0.3333,0.3333,0.3333,0.6667,"Up"
"2002//4",3.2716,0.6672,4.4465,0.3371,0.2667,0.3364,0.1966,0.1191,0.0154,0.0011,0.042,0.2409,3.8382,0.8382,0.2536,1.0229,0.027,0.0338,0.0319,0.0216,0.0214,0.021,0.2687,-0.0377,-0.0856,-0.052,-0.0698,0.0216,0.3424,0.0081,2.4048,0.5284,0.0195,1.8124,1.4048,53.8799,73.9352,104.0912,0.0929,0.1505,213.7658,131.9511,-0.1008,0,0,0.013,0.0121,0.0326,0.102,0.0055,0.002,0.0239,0.280102186161943,0.226576469654215,0.168712687023606,0.0062,1.638,1.5755,1.631,0.1527,3.7972,0.3907,0.0022,0.6225,17.7339,28.4873,8.8105,1.638,1.7193,1.7161,0.609,0.2607,0.6624,2.2838,0.9782,0.439,0.3889,0.4146,0.6111,"Down"
"2003//1",2.1801,0.8595,2.1818,0.3901,0.194,0.0032,-0.3961,-0.2987,-0.1068,0,0.0541,0.2137,2.5175,-0.4825,0.2245,-0.4204,0.0357,0.038,0.0298,0.0318,0.0316,0.031,0.3021,-0.0865,-0.094,-0.0769,-0.0924,0.0318,0.5045,0.0167,1.424,0.2223,0.0237,1.3565,0.424,12.7848,17.017,13.0521,0.1659,0.1948,30.9821,26.3842,-0.0973,-0.0224,0,0.0087,0.0072,0.0313,0.1022,0.0069,-0.0051,0.0224,0.137441201770183,0.0967695689529253,0.0805405806614673,0.0054,1.3117,1.6265,-0.005,0.1076,2.8863,0.328,0.0093,0.8147,4.1801,5.1308,2.6944,1.3117,225.4919,0.2979,0.8054,0.2819,0.8533,2.2151,1.3632,0.5278,0.52,0.5278,0.48,"Up"
"2003//2",2.3283,0.8279,2.4441,0.2358,0.0516,0.0698,-0.0597,-0.177,-0.0229,0.3714,0.0522,-0.053,2.4291,-0.5709,-0.0557,-0.5154,0.0365,0.0344,0.0291,0.0325,0.0323,0.0317,0.347,-0.078,-0.0897,-0.0772,-0.094,0.0325,0.5152,0.0163,1.4695,0.2358,0.0239,0.9241,0.4695,14.0472,18.0957,13.2639,0.1447,0.1994,43.3666,31.4865,-0.1,-0.0198,0.0072,0.0092,0.0079,0.0407,0.1,0.0067,-0.0041,0.0226,0.153961376136981,0.103993718300322,0.0853880898632643,0.0038,2.1714,0.624,2.7109,0.3811,1.6213,0.6173,0,0.7073,5.1323,7.2564,2.0154,2.1714,-2.5713,1.7921,0.646,0.5111,0.8237,2.746,2.5977,0.7027,0.6522,0.6216,0.3478,"Down"
"2003//3",0.53,0.5102,0.4413,0.0456,-0.1951,-0.1681,-0.1416,0.1602,-0.0371,0.2189,0.0321,0.8251,12.7734,9.7734,0.864,10.6531,0.0212,0.0308,0.0269,0.021,0.0208,0.0203,0.1923,-0.0435,-0.0674,-0.0362,-0.0362,0.021,0.3329,0.0088,1.0588,0.0246,0.0093,0.8745,0.0588,1.6989,2.5823,2.0974,0.0779,0.0891,6.3562,5.5544,-0.1222,-0.0074,0,0.0021,0.0016,0.0107,0.1571,0.004,-0.0058,0.01,0.0277988785053595,0.024694275974724,0.024694275974724,-0.0025,1.7434,2.9158,-1.3667,0.1392,-0.4697,0.373,0.002,0.4803,-0.7074,-1.4728,0.0594,1.7434,-10.5972,1.3548,0.4698,0.1903,0.5069,1.3104,2.788,0.5349,0.4783,0.5116,0.5652,"Down"
"2003//4",0.1969,0.4097,-0.2633,0.1141,-0.0961,0.1387,0.0062,-0.0472,-0.2198,0.4065,0.0258,0.4146,6.2647,3.2647,0.4361,3.6611,0.0173,0.023,0.0196,0.0177,0.0175,0.0169,0.1548,-0.0401,-0.0596,-0.0365,-0.0461,0.0177,0.2805,0.0084,0.9045,-0.0456,0.0076,0.9375,-0.0955,0.4775,0.786,0.6774,0.0845,0.095,1.422,1.2647,-0.0766,-0.0085,0,8e-04,5e-04,0.0096,0.0893,0.0033,-0.0059,0.0074,-0.0165880900473914,-0.0117195505346915,-0.00928178035655472,-0.0024,1.6669,2.2506,1.1302,0.3375,-0.4503,0.5809,0,0.3468,-0.6788,-1.9572,-0.1039,1.6669,2.315,1.9568,0.3307,0.238,0.4075,0.7444,1.2784,0.4474,0.4545,0.3947,0.6364,"Up"
"2004//1",0.8859,0.5659,1.0268,0.5127,-0.0363,-0.2464,-0.1829,-0.0069,0.191,1e-04,0.0357,0.3675,4.0579,1.0579,0.3854,1.2454,0.0235,0.0292,0.0235,0.0225,0.0223,0.0218,0.2968,-0.0488,-0.068,-0.0501,-0.0636,0.0225,0.3576,0.011,1.1746,0.0856,0.013,1.0924,0.1746,2.703,3.6137,4.3082,0.0887,0.1327,12.0698,8.069,-0.0879,-0.0113,0,0.0035,0.0029,0.0174,0.0991,0.0045,-0.0054,0.0124,0.0646816640639263,0.0460043931612121,0.0362730682411388,0.0043,2.0631,2.6153,1.2874,0.3637,1.9523,0.6031,0,0.4845,1.0242,2.114,0.2563,2.0631,3.0134,2.235,0.4479,0.3413,0.5631,2.4464,1.6534,0.5806,0.4242,0.5484,0.6061,"Down"
"2004//2",-0.5227,0.444,-1.8638,0.4631,0.2732,0.0046,-0.2415,-0.1962,-0.2569,0,0.028,0.6772,4.7461,1.7461,0.7113,1.9989,0.018,0.0233,0.016,0.0201,0.0199,0.0192,0.1845,-0.039,-0.0531,-0.0411,-0.0486,0.0201,0.3186,0.0119,0.6914,-0.1824,0.0082,1.186,-0.3086,-1.6233,-2.5033,-1.7218,0.1061,0.1177,-4.3686,-3.9368,-0.0712,-0.0169,0,-0.0021,-0.0025,0.0091,0.0907,0.0036,-0.0092,0.005,-0.117406176973827,-0.0798004534201383,-0.0675991827363044,0,1.6788,1.7365,2.0729,0.2758,-0.0017,0.5252,0,0.3894,-0.2833,-0.7275,-0.3596,1.6788,0.673,1.7689,0.3748,0.2332,0.4414,1.3664,1.6797,0.3846,0.5294,0.3462,0.4706,"Up"
"2004//3",0.5179,0.3937,0.5412,0.1033,0.0808,0.2078,1e-04,-0.0108,-0.0155,0.6365,0.0248,-0.0366,4.6954,1.6954,-0.0383,1.928,0.0176,0.0171,0.0179,0.0174,0.0172,0.0166,0.2464,-0.029,-0.0536,-0.0378,-0.0545,0.0174,0.2757,0.0084,1.0554,0.0269,0.0089,0.8741,0.0554,1.6008,2.2504,3.046,0.0878,0.1151,6.2986,4.8062,-0.0657,-0.0089,0,0.0021,0.0018,0.0172,0.0808,0.0031,-0.004,0.0082,0.0340944452691359,0.0223447890910265,0.0155138265679545,0.0021,1.2581,0.3263,3.5047,0.0525,0.7106,0.2292,0.0641,0.3837,0.5091,1.3268,0.1164,1.2581,-0.8838,0.5817,0.3803,0.0903,0.3909,2.113,1.1389,0.5,0.4444,0.4667,0.5556,"Down"
"2004//4",0.3249,0.2276,0.0884,0.131,0.0334,-0.1068,-0.0521,0.0315,0.0209,0.8994,0.0143,0.0091,4.5803,1.5803,0.0096,1.8232,0.0099,0.0102,0.0103,0.01,0.0098,0.0093,0.0741,-0.0231,-0.0306,-0.0216,-0.0306,0.01,0.1592,0.0051,0.9418,-0.0297,0.0048,1.1305,-0.0582,2.0036,4.7063,4.2875,0.0209,0.0301,16.5782,11.5459,-0.0429,-0.0068,0,0.0013,0.0012,0.0086,0.0392,0.0018,-0.0024,0.005,0.00556660370414831,0.00369339125562344,0.00260504045715963,-2e-04,0.7584,-0.3961,0.6405,0.0722,-0.0567,0.2687,0.0363,0.2201,-0.15,-0.6815,-0.0071,0.7584,-3.5144,0.7153,0.2174,0.0612,0.2259,0.9367,1.1172,0.4054,0.4091,0.3514,0.5909,"Down"
"2005//1",-0.14,0.2282,-1.9487,0.1216,0.0489,-0.0742,-0.1735,-0.1323,0.0716,0.5272,0.0144,0.1376,3.5844,0.5844,0.1445,0.7378,0.0099,0.0095,0.0083,0.011,0.0108,0.0102,0.142,-0.0216,-0.0285,-0.0233,-0.0297,0.011,0.1751,0.0064,0.6636,-0.1943,0.0042,1.1121,-0.3364,-0.6308,-1.075,-1.2145,0.0465,0.0678,-3.3193,-2.2733,-0.0399,-0.0084,0,-6e-04,-7e-04,0.0076,0.0363,0.0018,-0.0042,0.0031,-0.122758412843541,-0.0758085501164163,-0.059412807929518,-0.0016,0.7092,-0.5636,2.723,0.0462,-0.3311,0.215,0.0933,0.2238,-0.4261,-1.9038,-0.5295,0.7092,-2.1117,0.6225,0.2211,0.0491,0.2265,0.7623,1.7645,0.3636,0.3793,0.3636,0.6207,"Up"
"2005//2",0.4989,0.1401,1.3852,-0.0817,0.0275,0.196,-0.2096,-0.0876,-0.0972,0.2868,0.0088,0.1583,2.7198,-0.2802,0.1662,-0.2021,0.006,0.0048,0.0035,0.0058,0.0056,0.005,0.0426,-0.0138,-0.0143,-0.0121,-0.015,0.0058,0.0916,0.0033,1.1203,0.068,0.0037,1.3084,0.1203,4.42,14.7913,11.6837,0.0082,0.0133,76.3808,47.1401,-0.0154,0,0,0.002,0.0019,0.0082,0.0237,0.0011,-2e-04,0.0042,0.0872598670408767,0.0637881071426338,0.051457936353989,9e-04,-0.0449,0.2115,-0.3001,7e-04,0.2506,-0.0262,0.8388,0.164,-0.9764,-5.9545,-4.5067,-0.0449,0.2768,-0.1573,0.139,-0.0037,0.139,0.3335,-1.2628,0.3462,0.1818,0.3077,0.8182,"Up"
"2005//3",0.84,0.4747,1.1274,0.3648,0.1623,0.0405,-0.2637,-0.3678,-0.2698,0,0.0299,0.0557,5.9209,2.9209,0.0584,3.2516,0.0207,0.0255,0.0277,0.02,0.0198,0.0194,0.2696,-0.0528,-0.0676,-0.0433,-0.0644,0.02,0.3168,0.0078,1.2238,0.0875,0.0095,0.7773,0.2238,2.8988,3.9741,3.4368,0.1215,0.1375,8.8074,7.7794,-0.0957,0,0,0.0033,0.0029,0.0073,0.0873,0.0037,-0.004,0.0107,0.0710190692645494,0.0490938068297284,0.0329732820043453,0.0051,1.7448,1.9541,1.2873,0.1495,2.6407,0.3867,0.0013,0.4448,1.1989,2.6957,0.3026,1.7448,1.685,2.3407,0.4345,0.1836,0.4717,2.8188,1.0008,0.6667,0.303,0.6061,0.7273,"Up"
"2005//4",1.3367,0.3084,3.346,0.1614,0.0821,-0.155,-0.0791,-0.0664,-0.2321,0.2509,0.0194,0.1647,4.6249,1.6249,0.1736,1.8852,0.0131,0.0153,0.0148,0.0115,0.0113,0.0109,0.1243,-0.0285,-0.0402,-0.0248,-0.0352,0.0115,0.1822,0.0047,1.7937,0.3239,0.0084,0.8883,0.7937,11.6866,21.0859,22.4753,0.0257,0.045,101.9274,58.204,-0.0497,0,0.0047,0.0053,0.0051,0.0098,0.0645,0.0026,2e-04,0.0104,0.210775465497874,0.1649075893979,0.116403220635479,0.0051,1.8073,1.7215,0.9186,0.16,2.6429,0.4,0.0019,0.288,2.4526,8.5167,0.9261,1.8073,-3.9458,1.0976,0.2802,0.1233,0.3061,3.1254,0.7265,0.6562,0.3846,0.5938,0.6154,"Down"
"2006//1",0.1885,0.1893,-0.6145,0.2255,0.0704,0.1006,-0.0317,-0.3124,-0.1123,0.0532,0.0119,-0.9568,4.9868,1.9868,-1.0033,2.2512,0.0091,0.0046,0.0101,0.0095,0.0094,0.0088,0.1074,-0.0239,-0.0298,-0.0212,-0.0319,0.0095,0.1515,0.0047,0.823,-0.0879,0.0039,0.9105,-0.177,0.8973,1.7329,1.763,0.0314,0.0412,5.8788,4.4809,-0.0435,-0.008,0,7e-04,7e-04,0.0085,0.0187,0.0015,-0.0022,0.0037,-0.0387129474561757,-0.0217217905248268,-0.0144530526903804,1e-04,0.8548,0.8943,1.6972,0.1879,0.0337,0.4335,3e-04,0.1711,0.0525,0.3066,-0.1468,0.8548,-3.2919,1.1157,0.1692,0.0821,0.1881,0.9431,0.807,0.5,0.375,0.4375,0.6562,"Up"
"2006//2",1.4974,0.4293,2.7778,0.3129,0.223,0.1391,0.1123,0.0937,0.1182,0.0427,0.027,2.6647,15.0689,12.0689,2.8034,13.2456,0.0138,0.0301,0.0116,0.0114,0.0112,0.0106,0.1178,-0.0243,-0.0372,-0.0077,-0.1216,0.0114,0.1809,0.0056,1.7709,0.3822,0.01,1.5253,0.7709,14.1629,26.1862,25.692,0.0391,0.0538,78.9091,57.3475,-0.0448,-0.0064,0,0.0059,0.0056,0.0102,0.1501,0.0035,-0.001,0.0129,0.174983429693153,0.610819237125491,0.0389303112075046,0.006,2.2832,2.0957,0.5939,0.2824,3.5192,0.5314,0,0.3856,2.9116,7.5498,0.8828,2.2832,3.4523,1.5636,0.3607,0.2281,0.4268,3.4181,1.707,0.7333,0.5333,0.6667,0.5,"Down"
"2006//3",0.6361,0.2353,1.4079,0.2361,0.0324,-0.2086,-0.1669,-0.0071,-0.0786,0.1538,0.0148,-0.5215,8.0935,5.0935,-0.5465,5.6065,0.0108,0.0107,0.0142,0.0104,0.0102,0.0097,0.0684,-0.0111,-0.0329,-0.0223,-0.0437,0.0104,0.1643,0.0043,1.2193,0.0905,0.0052,0.8,0.2193,4.9685,12.2316,9.6309,0.0194,0.0288,43.0952,28.9957,-0.0543,-0.0054,0,0.0025,0.0024,0.0064,0.0521,0.0018,-0.0011,0.0062,0.0886908886808313,0.0590526218705613,0.0300692042113791,2e-04,1.2212,1.7002,1.5898,0.2481,0.0562,0.4981,0,0.2051,0.1442,0.703,0.2906,1.2212,1.8646,2.0088,0.2025,0.1172,0.2339,0.814,0.1364,0.4894,0.2778,0.4468,0.8333,"Up"
"2006//4",1.0038,0.3356,2.0827,0.0723,0.0191,-0.1272,-0.1211,-0.0929,-0.0464,0.8004,0.0211,0.8377,6.0256,3.0256,0.8821,3.4076,0.0132,0.0185,0.0127,0.012,0.0118,0.0113,0.1197,-0.0215,-0.0398,-0.0239,-0.0274,0.012,0.1907,0.0058,1.4119,0.1994,0.0082,0.9424,0.4119,7.1871,13.1909,14.714,0.0528,0.0648,29.8523,24.3346,-0.0555,-0.0051,0.0044,0.004,0.0038,0.0103,0.0785,0.0028,-0.0015,0.0095,0.131200178641003,0.115826002724827,0.101115340465288,0.0014,1.0737,1.6965,0.3741,0.2126,0.413,0.4611,2e-04,0.298,0.7153,2.4004,0.8411,1.0737,4.7029,1.5846,0.2953,0.1547,0.3334,1.15,0.7,0.6176,0.52,0.4412,0.52,"Down"
"2007//1",-0.1343,0.591,-0.743,0.3905,0.1836,-0.2036,-0.18,-0.2733,-0.0722,7e-04,0.0372,0.2708,4.0213,1.0213,0.2839,1.2058,0.0251,0.0276,0.0239,0.0262,0.026,0.0254,0.3766,-0.0696,-0.0792,-0.0576,-0.0734,0.0262,0.4166,0.0146,0.8546,-0.0808,0.0125,0.9005,-0.1454,-0.5528,-0.6995,-0.7296,0.1313,0.1667,-2.0183,-1.5894,-0.0869,-0.0217,-0.004,-5e-04,-0.0012,0.0214,0.0968,0.0047,-0.0098,0.0088,-0.0468030767635604,-0.0302327767525002,-0.0237338463170839,0.0024,1.6205,1.8231,1.2581,0.4459,0.8458,0.6677,0,0.4652,0.0488,0.1049,-0.2822,1.6205,4.5067,1.8405,0.4365,0.3946,0.5884,1.7196,1.4272,0.7143,0.7714,0.5714,0.3714,"Up"
"2007//2",0.3913,0.6076,0.1424,-0.1787,0.0361,0.0313,-0.0831,-0.2048,-0.0211,0.4731,0.0383,1.9525,14.6578,11.6578,2.0523,12.7782,0.0228,0.0451,0.0272,0.0228,0.0226,0.0221,0.1651,-0.0401,-0.0851,-0.0282,-0.0495,0.0228,0.362,0.0103,0.9966,-0.0015,0.0102,1.2761,-0.0034,0.9153,1.4697,1.2527,0.0556,0.0678,4.3384,3.5571,-0.0947,-0.0102,0,0.0016,9e-04,0.0103,0.2017,0.0049,-0.0083,0.0114,0.00896859421181291,0.01218625681172,0.00693123533045089,0.0012,0.7838,-0.1489,1.954,0.0192,0.3669,0.1385,0.2872,0.6022,0.2321,0.3854,-0.1071,0.7838,3.6444,1.1492,0.5968,0.0841,0.6027,0.6826,0.0808,0.3429,0.3462,0.3429,0.6923,"Down"
"2007//3",0.3479,0.2483,0.1734,0.3703,0.2634,-0.1209,-0.0744,-0.0555,-0.0229,0.0148,0.0156,-0.8289,4.1329,1.1329,-0.8685,1.3234,0.0121,0.0067,0.0121,0.0122,0.012,0.0114,0.105,-0.0255,-0.0374,-0.0273,-0.0381,0.0122,0.1933,0.0059,0.9651,-0.017,0.0057,0.785,-0.0349,1.8196,3.5518,2.4918,0.038,0.0505,9.7779,7.3564,-0.0465,-0.0088,0,0.0014,0.0013,0.0102,0.0306,0.0019,-0.0025,0.0053,0.0109236795526791,0.00627003153175689,0.00448443350293877,0.0014,1.0059,0.6599,1.4162,0.2115,0.4095,0.4599,1e-04,0.2205,0.3733,1.693,0.0124,1.0059,1.801,1.0043,0.2188,0.1142,0.2468,1.1928,0.6976,0.5143,0.4483,0.4571,0.6207,"Up"
"2007//4",0.5226,0.2876,0.7573,0.2694,-0.0716,-0.0773,-0.1322,-0.1456,-0.1593,0.1551,0.0181,1.3532,7.0437,4.0437,1.4261,4.5262,0.0105,0.0189,0.0097,0.0102,0.01,0.0094,0.0982,-0.0211,-0.0337,-0.0185,-0.0264,0.0102,0.162,0.0055,1.0892,0.0477,0.0059,1.5578,0.0892,3.1269,6.3124,5.3769,0.019,0.0281,32.5381,22.0291,-0.0417,-0.009,0,0.0021,0.0019,0.0094,0.0653,0.0024,-0.0027,0.0068,0.0477039358889967,0.0467761280828384,0.0327701170884979,0.0011,1.2277,2.0929,1.2685,0.3276,0.3235,0.5724,0,0.2378,0.3422,1.4388,0.1585,1.2277,-5.9157,1.2797,0.2338,0.1646,0.286,1.207,0.8977,0.4242,0.48,0.3636,0.64,"Down"
"2008//1",-0.2798,0.4491,-1.3018,0.0627,-0.2039,-0.0256,0,-0.1442,0.1035,0.5213,0.0283,0.7356,4.5906,1.5906,0.7732,1.8344,0.0178,0.0254,0.0158,0.0193,0.0191,0.0184,0.1999,-0.0399,-0.054,-0.0402,-0.0476,0.0193,0.3061,0.0112,0.7582,-0.1399,0.0085,1.2485,-0.2418,-1.0499,-1.575,-1.5963,0.0998,0.1118,-3.1721,-2.8298,-0.0679,-0.0179,0,-0.0011,-0.0015,0.0091,0.091,0.0036,-0.0084,0.0061,-0.0820064517817189,-0.0576990255045617,-0.0487342307428231,0.0012,1.1981,1.3838,1.0685,0.6491,0.3575,0.8056,0,0.2727,0.0686,0.2517,-0.4134,1.1981,2.8673,1.1746,0.2638,0.3618,0.4478,1.2365,1.1063,0.5417,0.6216,0.4583,0.5135,"Up"
"2008//2",0.816,0.2536,2.0158,0.3717,0.0946,0.107,0.1515,-0.0172,-0.0167,0.0588,0.016,0.241,4.5626,1.5626,0.2529,1.7958,0.0109,0.011,0.0097,0.0101,0.0099,0.0093,0.1046,-0.0222,-0.0302,-0.0212,-0.0289,0.0101,0.1596,0.0051,1.3237,0.1641,0.0067,1.0712,0.3237,5.8092,11.3623,10.6213,0.0386,0.0527,30.7245,22.5376,-0.0393,-0.0077,0,0.0032,0.0031,0.0124,0.0555,0.002,-8e-04,0.0073,0.126981833753271,0.0955675855656569,0.0702647490804233,0.0021,0.9781,-0.5309,1.5379,0.1957,0.7075,0.4424,3e-04,0.2274,0.8744,3.8448,0.6285,0.9781,-3.437,0.7263,0.2256,0.1122,0.252,1.5602,0.885,0.6562,0.4194,0.625,0.6129,"Down"
"2008//3",-0.7354,0.3095,-3.3611,0.2016,-0.0175,0.0839,-0.241,-0.3715,-0.2132,0.0018,0.0195,0.1405,3.3372,0.3372,0.1471,0.4609,0.0133,0.0115,0.0117,0.016,0.0157,0.015,0.1985,-0.0336,-0.0425,-0.0338,-0.0419,0.016,0.2533,0.0101,0.552,-0.2824,0.0056,0.9586,-0.448,-1.82,-2.7366,-2.4002,0.0848,0.1071,-6.4285,-5.0871,-0.0537,-0.0146,-0.0081,-0.0029,-0.0031,0.0084,0.0501,0.0024,-0.0077,0.0019,-0.211732036157029,-0.122015885992688,-0.0984237161493728,-8e-04,0.7503,0.7627,0.4285,0.1873,-0.187,0.4327,3e-04,0.2825,0.0174,0.0617,-0.8847,0.7503,0.7909,0.6797,0.2769,0.1339,0.3076,0.8519,0.8854,0.5294,0.5918,0.3529,0.4898,"Up"
